test_case,precision,recall,response_time,recommended,expected
phim kinh dị,0.8,0.8,6.35,"['Psycho', 'Alien', 'The Shining', 'The Thing', 'What Ever Happened to Baby Jane?']","['Alien', 'The Shining', 'The Thing', 'Get out', 'Psycho']"
horor movie,0.8,0.8,1.84,"['Psycho', 'Alien', 'The Shining', 'The Thing', 'What Ever Happened to Baby Jane?']","['Alien', 'The Shining', 'The Thing', ""Michael Jackson's Thriller"", 'Psycho']"
phim khoa học viễn tưởng,0.8,1.0,7.49,"['Batman: The Dark Knight Returns, Part 2', 'Inception', 'Interstellar', 'The Matrix', 'Star Wars']","['Interstellar', 'Inception', 'The Matrix', 'Star Wars']"
science ficition movie,0.8,0.8,23.19,"['Batman: The Dark Knight Returns, Part 2', 'Inception', 'Interstellar', 'The Matrix', 'Star Wars']","['Interstellar', 'Inception', 'The Matrix', 'The Empire Strikes Back', 'Star Wars']"
phim hài của tom hanks,0.6,0.75,25.36,"['Forrest Gump', 'The Green Mile', 'Saving Private Ryan', 'Toy Story', 'Catch Me If You Can']","['Forest Gump', 'The Green Mile', 'Toy Story', 'Catch Me If You Can']"
phim hành động,0.4,0.4,1.85,"['The Lord of the Rings: The Return of the King', 'The Dark Knight', 'Batman: The Dark Knight Returns, Part 2', 'The Lord of the Rings: The Fellowship of the Ring', 'Inception']","['Inception', 'The Dark Knight', 'The Matrix', 'The Avengers', 'Gladiator']"
phim hoạt hình,0.6,0.6,22.99,"['Batman: The Dark Knight Returns, Part 2', 'Spirited Away', 'The Lion King', 'Spider-Man: Across the Spider-Verse', 'Grave of the Fireflies']","['The Lion King', 'Toy Story', 'Batman: The Dark Knight Returns, Part 2', 'Spirited Away', 'Inside Out']"
phim phiêu lưu,0.4,0.4,23.39,"['The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Fellowship of the Ring', 'Inception', 'The Lord of the Rings: The Two Towers', 'The Empire Strikes Back']","['The Lord of the Rings: The Fellowship of the Ring', 'Indiana Jones and the Last Crusade', 'Inception', 'The Hobbit: An Unexpected Journey', 'Avatar']"
phim tâm lý,0.6,0.75,25.85,"['The Shawshank Redemption', 'The Godfather', 'The Godfather Part II', '12 Angry Men', ""Schindler's List""]","['The Godfather', 'Pulp Fiction', 'The Shawshank Redemption', 'The Godfather Part II']"
phim hài,0.6,0.6,24.81,"['Forrest Gump', 'Life Is Beautiful', 'Modern Times', 'Parasite', 'City Lights']","['Life Is Beautiful', 'Superbad', 'Groundhog Day', 'Modern Times', 'Parasite']"
phim của tom hanks,0.8,0.8,1.37,"['Forrest Gump', 'The Green Mile', 'Saving Private Ryan', 'Toy Story', 'Catch Me If You Can']","['Forrest Gump', 'The Green Mile', 'Cast Away', 'Saving Private Ryan', 'Catch Me If You Can']"
dama movie,0.6,0.75,22.13,"['The Shawshank Redemption', 'The Godfather', 'The Godfather Part II', '12 Angry Men', ""Schindler's List""]","['The Godfather', '12 Angry Men', 'The Dark Knight', 'The Godfather Part II']"
phim có matt damon,1.0,0.75,22.79,"['Saving Private Ryan', 'The Departed', 'Good Will Hunting']","['The Martian', 'The Departed', 'Saving Private Ryan', 'Good Will Hunting']"
comdy movie,0.6,0.6,21.91,"['Forrest Gump', 'Life Is Beautiful', 'Modern Times', 'Parasite', 'City Lights']","['The Hangover', 'The Intouchables', 'Modern Times', 'Parasite', 'Forrest Gump']"
phim có leonardo dicaprio,1.0,0.5,28.5,"['The Departed', 'Catch Me If You Can']","['Titanic', 'The Departed', 'Shutter Island', 'Catch Me If You Can']"
The Green Mile,1.0,1.0,0.0,['The Green Mile'],['The Green Mile']
